ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Brisbane,Brisbane International,1/4/19,ATP250,Outdoor,Hard,Quarterfinals,3,Tsonga J.W.,De Minaur A.,239,31,200,1298,6,4,7,6,,,,,,,2,0,Completed,2.5,1.53,2.5,1.61,2.56,1.63,2.42,1.57
1,Brisbane,Brisbane International,1/5/19,ATP250,Outdoor,Hard,Semifinals,3,Nishikori K.,Chardy J.,9,40,3590,1050,6,2,6,2,,,,,,,2,0,Completed,1.16,5,1.2,5.3,1.2,5.8,1.17,5.11
1,Brisbane,Brisbane International,1/5/19,ATP250,Outdoor,Hard,Semifinals,3,Medvedev D.,Tsonga J.W.,16,239,1977,200,7,6,6,2,,,,,,,2,0,Completed,1.61,2.3,1.71,2.3,1.79,2.46,1.67,2.23
1,Brisbane,Brisbane International,1/6/19,ATP250,Outdoor,Hard,The Final,3,Nishikori K.,Medvedev D.,9,16,3590,1977,6,4,3,6,6,2,,,,,2,1,Completed,1.57,2.37,1.66,2.4,1.67,2.54,1.6,2.36
2,Doha,Qatar Exxon Mobil Open,12/31/18,ATP250,Outdoor,Hard,1st Round,3,Bautista Agut R.,Berrettini M.,24,54,1605,932,6,1,6,4,,,,,,,2,0,Completed,1.3,3.4,1.34,3.5,1.53,3.6,1.35,3.23
2,Doha,Qatar Exxon Mobil Open,12/31/18,ATP250,Outdoor,Hard,1st Round,3,Jarry N.,Haase R.,43,50,1022,965,6,7,6,4,7,6,,,,,2,1,Completed,2.1,1.66,2.07,1.83,2.17,1.87,2.05,1.77
2,Doha,Qatar Exxon Mobil Open,12/31/18,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Lorenzi P.,28,109,1410,525,6,3,6,4,,,,,,,2,0,Completed,1.22,4,1.23,4.62,1.3,4.7,1.24,4.07
2,Doha,Qatar Exxon Mobil Open,12/31/18,ATP250,Outdoor,Hard,1st Round,3,Berdych T.,Kohlschreiber P.,71,34,715,1125,6,4,7,6,,,,,,,2,0,Completed,2.62,1.44,2.86,1.47,2.86,2.02,2.44,1.59
2,Doha,Qatar Exxon Mobil Open,12/31/18,ATP250,Outdoor,Hard,1st Round,3,Basilashvili N.,Ramos-Vinolas A.,21,65,1795,790,6,1,1,6,6,1,,,,,2,1,Completed,1.4,2.75,1.49,2.81,1.5,3.03,1.45,2.75
2,Doha,Qatar Exxon Mobil Open,12/31/18,ATP250,Outdoor,Hard,1st Round,3,Rublev A.,Seppi A.,68,37,760,1106,7,5,6,1,,,,,,,2,0,Completed,1.5,2.5,1.48,2.83,1.57,2.83,1.5,2.59
2,Doha,Qatar Exxon Mobil Open,12/31/18,ATP250,Outdoor,Hard,1st Round,3,Marterer M.,Gojowczyk P.,74,59,706,855,6,1,6,4,,,,,,,2,0,Completed,1.9,1.8,2.2,1.74,2.23,1.82,2.09,1.74
2,Doha,Qatar Exxon Mobil Open,1/1/19,ATP250,Outdoor,Hard,1st Round,3,Berankis R.,Goffin D.,116,22,507,1785,3,6,6,4,7,6,,,,,2,1,Completed,3.4,1.3,3.3,1.38,3.6,1.38,3.32,1.33
2,Doha,Qatar Exxon Mobil Open,1/1/19,ATP250,Outdoor,Hard,1st Round,3,Pella G.,Ilkel C.,58,249,860,183,7,6,6,3,,,,,,,2,0,Completed,1.18,4.5,1.23,4.68,1.24,4.8,1.2,4.49
2,Doha,Qatar Exxon Mobil Open,1/1/19,ATP250,Outdoor,Hard,1st Round,3,Cecchinato M.,Stakhovsky S.,20,134,1819,424,6,4,6,2,,,,,,,2,0,Completed,2,1.72,2.33,1.67,2.35,1.78,2.18,1.68
2,Doha,Qatar Exxon Mobil Open,1/1/19,ATP250,Outdoor,Hard,1st Round,3,Lajovic D.,Mannarino A.,48,42,985,1045,6,3,7,6,,,,,,,2,0,Completed,1.66,2.1,1.78,2.15,1.8,2.2,1.72,2.11
2,Doha,Qatar Exxon Mobil Open,1/1/19,ATP250,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Zayid M.S.,105,N/A,543,N/A,6,1,6,3,,,,,,,2,0,Completed,1.01,26,1.02,18.93,1.04,29.21,1.02,17.2
2,Doha,Qatar Exxon Mobil Open,1/1/19,ATP250,Outdoor,Hard,1st Round,3,Wawrinka S.,Khachanov K.,66,11,785,2835,7,6,6,4,,,,,,,2,0,Completed,2.75,1.4,3.09,1.42,3.41,1.47,2.89,1.41
2,Doha,Qatar Exxon Mobil Open,1/1/19,ATP250,Outdoor,Hard,1st Round,3,Fucsovics M.,Copil M.,36,60,1122,823,6,3,6,2,,,,,,,2,0,Completed,1.61,2.2,1.69,2.28,1.71,2.35,1.64,2.26
2,Doha,Qatar Exxon Mobil Open,1/1/19,ATP250,Outdoor,Hard,1st Round,3,Djokovic N.,Dzumhur D.,1,47,9045,985,6,1,6,2,,,,,,,2,0,Completed,1.05,11,1.03,17.38,1.05,18.75,1.03,12.85
2,Doha,Qatar Exxon Mobil Open,1/1/19,ATP250,Outdoor,Hard,1st Round,3,Herbert P.H.,Thiem D.,55,8,903,4095,6,3,7,5,,,,,,,2,0,Completed,3.75,1.25,4.06,1.28,4.2,1.33,3.77,1.27
2,Doha,Qatar Exxon Mobil Open,1/2/19,ATP250,Outdoor,Hard,2nd Round,3,Lajovic D.,Berankis R.,48,116,985,507,7,6,0,6,7,5,,,,,2,1,Completed,1.66,2.1,1.75,2.2,1.8,2.27,1.72,2.12
2,Doha,Qatar Exxon Mobil Open,1/2/19,ATP250,Outdoor,Hard,2nd Round,3,Bautista Agut R.,Garcia-Lopez G.,24,105,1605,543,6,1,6,4,,,,,,,2,0,Completed,1.22,4,1.24,4.65,1.29,4.7,1.23,4.2
2,Doha,Qatar Exxon Mobil Open,1/2/19,ATP250,Outdoor,Hard,2nd Round,3,Wawrinka S.,Jarry N.,66,43,785,1022,6,4,7,6,,,,,,,2,0,Completed,1.36,3,1.38,3.32,1.41,3.44,1.37,3.1
2,Doha,Qatar Exxon Mobil Open,1/2/19,ATP250,Outdoor,Hard,2nd Round,3,Djokovic N.,Fucsovics M.,1,36,9045,1122,4,6,6,4,6,1,,,,,2,1,Completed,1.04,13,1.04,17.09,1.06,17.5,1.03,12.51
2,Doha,Qatar Exxon Mobil Open,1/2/19,ATP250,Outdoor,Hard,2nd Round,3,Cecchinato M.,Pella G.,20,58,1819,860,,,,,,,,,,,,,Walkover,2,1.72,2.07,1.85,2.12,1.87,2.03,1.78
2,Doha,Qatar Exxon Mobil Open,1/2/19,ATP250,Outdoor,Hard,2nd Round,3,Herbert P.H.,Marterer M.,55,74,903,706,6,3,6,7,7,6,,,,,2,1,Completed,1.72,2,1.71,2.27,1.78,2.28,1.69,2.17
2,Doha,Qatar Exxon Mobil Open,1/2/19,ATP250,Outdoor,Hard,2nd Round,3,Basilashvili N.,Rublev A.,21,68,1795,760,6,3,6,4,,,,,,,2,0,Completed,2,1.72,2.09,1.83,2.1,2,2,1.81
2,Doha,Qatar Exxon Mobil Open,1/2/19,ATP250,Outdoor,Hard,2nd Round,3,Berdych T.,Verdasco F.,71,28,715,1410,4,6,6,3,7,5,,,,,2,1,Completed,1.66,2.1,1.74,2.23,1.83,2.32,1.71,2.14
2,Doha,Qatar Exxon Mobil Open,1/3/19,ATP250,Outdoor,Hard,Quarterfinals,3,Bautista Agut R.,Wawrinka S.,24,66,1605,785,6,4,6,4,,,,,,,2,0,Completed,2.1,1.72,2.12,1.83,2.21,1.88,2.1,1.75
2,Doha,Qatar Exxon Mobil Open,1/3/19,ATP250,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Basilashvili N.,1,21,9045,1795,4,6,6,3,6,4,,,,,2,1,Completed,1.06,10,1.09,9.69,1.1,10.45,1.07,8.78
2,Doha,Qatar Exxon Mobil Open,1/3/19,ATP250,Outdoor,Hard,Quarterfinals,3,Berdych T.,Herbert P.H.,71,55,715,903,6,2,6,4,,,,,,,2,0,Completed,1.53,2.5,1.49,2.87,1.53,2.87,1.49,2.67
2,Doha,Qatar Exxon Mobil Open,1/3/19,ATP250,Outdoor,Hard,Quarterfinals,3,Cecchinato M.,Lajovic D.,20,48,1819,985,7,6,6,2,,,,,,,2,0,Completed,2.62,1.5,2.63,1.56,2.7,1.61,2.53,1.53
2,Doha,Qatar Exxon Mobil Open,1/4/19,ATP250,Outdoor,Hard,Semifinals,3,Bautista Agut R.,Djokovic N.,24,1,1605,9045,3,6,7,6,6,4,,,,,2,1,Completed,5,1.16,5.22,1.21,5.4,1.21,4.95,1.18
2,Doha,Qatar Exxon Mobil Open,1/4/19,ATP250,Outdoor,Hard,Semifinals,3,Berdych T.,Cecchinato M.,71,20,715,1819,7,6,6,3,,,,,,,2,0,Completed,1.44,2.75,1.5,2.83,1.56,3.03,1.45,2.78
2,Doha,Qatar Exxon Mobil Open,1/5/19,ATP250,Outdoor,Hard,The Final,3,Bautista Agut R.,Berdych T.,24,71,1605,715,6,4,3,6,6,3,,,,,2,1,Completed,1.57,2.37,1.6,2.55,1.65,2.55,1.6,2.37
3,Pune,Maharashtra Open,12/31/18,ATP250,Outdoor,Hard,1st Round,3,Darcis S.,Carballes Baena R.,N/A,73,N/A,714,6,3,6,4,,,,,,,2,0,Completed,2.37,1.53,2.44,1.61,2.47,1.65,2.35,1.59
3,Pune,Maharashtra Open,12/31/18,ATP250,Outdoor,Hard,1st Round,3,Munar J.,Albot R.,81,98,663,592,6,2,7,6,,,,,,,2,0,Completed,2,1.72,1.94,1.94,2.08,1.95,1.94,1.86
3,Pune,Maharashtra Open,12/31/18,ATP250,Outdoor,Hard,1st Round,3,Donskoy E.,Andujar P.,97,82,594,658,6,3,5,7,7,6,,,,,2,1,Completed,1.5,2.5,1.54,2.62,1.57,2.65,1.51,2.53
3,Pune,Maharashtra Open,12/31/18,ATP250,Outdoor,Hard,1st Round,3,Mmoh M.,Gunneswaran P.,103,110,563,521,7,5,6,3,,,,,,,2,0,Completed,1.66,2.1,1.81,2.1,1.83,2.17,1.74,2.09
3,Pune,Maharashtra Open,12/31/18,ATP250,Outdoor,Hard,1st Round,3,Gulbis E.,Sousa P.,95,104,612,550,6,4,4,6,6,4,,,,,2,1,Completed,1.33,3.25,1.36,3.39,1.4,3.5,1.35,3.19
3,Pune,Maharashtra Open,1/1/19,ATP250,Outdoor,Hard,1st Round,3,Karlovic I.,Auger-Aliassime F.,100,108,589,527,6,4,7,5,,,,,,,2,0,Completed,2.1,1.66,2.2,1.74,2.3,1.78,2.16,1.7
3,Pune,Maharashtra Open,1/1/19,ATP250,Outdoor,Hard,1st Round,3,Bolelli S.,Istomin D.,141,92,384,622,6,4,6,4,,,,,,,2,0,Completed,2,1.72,2.19,1.75,2.2,1.8,2.11,1.72
3,Pune,Maharashtra Open,1/1/19,ATP250,Outdoor,Hard,1st Round,3,Ivashka I.,Hurkacz H.,91,86,622,636,6,7,6,2,6,3,,,,,2,1,Completed,2.25,1.57,2.29,1.69,2.37,1.71,2.24,1.65
3,Pune,Maharashtra Open,1/1/19,ATP250,Outdoor,Hard,1st Round,3,Vesely J.,Hoang A.,89,149,629,359,4,6,6,4,6,4,,,,,2,1,Completed,1.83,1.83,1.93,1.95,2,1.96,1.88,1.92
3,Pune,Maharashtra Open,1/1/19,ATP250,Outdoor,Hard,1st Round,3,Paire B.,Monteiro T.,52,120,935,475,7,6,6,3,,,,,,,2,0,Completed,,,,,1.35,3.23,1.34,3.07
3,Pune,Maharashtra Open,1/1/19,ATP250,Outdoor,Hard,1st Round,3,Ramanathan R.,Granollers M.,132,96,433,598,4,6,6,4,6,3,,,,,2,1,Completed,2.25,1.57,2.33,1.67,2.4,1.67,2.3,1.61
3,Pune,Maharashtra Open,1/1/19,ATP250,Outdoor,Hard,1st Round,3,Djere L.,Kadhe A.,93,392,621,37,7,5,7,6,,,,,,,2,0,Completed,1.22,4,1.26,4.31,1.3,4.4,1.25,3.96
3,Pune,Maharashtra Open,1/2/19,ATP250,Outdoor,Hard,2nd Round,3,Karlovic I.,Donskoy E.,100,97,589,594,6,4,7,5,,,,,,,2,0,Completed,1.61,2.2,1.74,2.23,1.74,2.33,1.66,2.22
3,Pune,Maharashtra Open,1/2/19,ATP250,Outdoor,Hard,2nd Round,3,Gulbis E.,Chung H.,95,25,612,1585,7,6,6,2,,,,,,,2,0,Completed,3,1.36,3.5,1.35,3.5,1.38,3.25,1.34
3,Pune,Maharashtra Open,1/2/19,ATP250,Outdoor,Hard,2nd Round,3,Paire B.,Vesely J.,52,89,935,629,6,4,6,2,,,,,,,2,0,Completed,1.5,2.5,1.6,2.51,1.61,2.65,1.54,2.48
3,Pune,Maharashtra Open,1/2/19,ATP250,Outdoor,Hard,2nd Round,3,Anderson K.,Djere L.,6,93,4710,621,7,6,7,6,,,,,,,2,0,Completed,1.25,3.75,1.35,3.51,1.41,3.8,1.32,3.31
3,Pune,Maharashtra Open,1/2/19,ATP250,Outdoor,Hard,2nd Round,3,Munar J.,Bolelli S.,81,141,663,384,7,5,6,0,,,,,,,2,0,Completed,2,1.72,2.15,1.79,2.15,1.8,2.08,1.75
3,Pune,Maharashtra Open,1/2/19,ATP250,Outdoor,Hard,2nd Round,3,Darcis S.,Mmoh M.,N/A,103,N/A,563,4,6,7,6,6,2,,,,,2,1,Completed,2.37,1.53,2.52,1.59,2.55,1.68,2.42,1.56
3,Pune,Maharashtra Open,1/2/19,ATP250,Outdoor,Hard,2nd Round,3,Simon G.,Ivashka I.,30,91,1370,622,6,7,6,2,6,1,,,,,2,1,Completed,1.44,2.62,1.43,3.07,1.52,3.07,1.45,2.74
3,Pune,Maharashtra Open,1/2/19,ATP250,Outdoor,Hard,2nd Round,3,Jaziri M.,Ramanathan R.,45,132,1014,433,6,7,7,6,6,3,,,,,2,1,Completed,2,1.72,1.95,1.95,2.1,1.98,1.94,1.86
3,Pune,Maharashtra Open,1/3/19,ATP250,Outdoor,Hard,Quarterfinals,3,Karlovic I.,Gulbis E.,100,95,589,612,7,6,7,6,,,,,,,2,0,Completed,2.1,1.72,2.18,1.78,2.21,1.85,2.12,1.73
3,Pune,Maharashtra Open,1/3/19,ATP250,Outdoor,Hard,Quarterfinals,3,Darcis S.,Jaziri M.,N/A,45,N/A,1014,7,5,6,2,,,,,,,2,0,Completed,1.8,2,1.91,2.02,1.94,2.08,1.82,2
3,Pune,Maharashtra Open,1/3/19,ATP250,Outdoor,Hard,Quarterfinals,3,Anderson K.,Munar J.,6,81,4710,663,6,3,6,3,,,,,,,2,0,Completed,1.25,4,1.28,4.14,1.4,4.4,1.3,3.57
3,Pune,Maharashtra Open,1/3/19,ATP250,Outdoor,Hard,Quarterfinals,3,Simon G.,Paire B.,30,52,1370,935,3,6,7,6,6,4,,,,,2,1,Completed,1.66,2.2,1.56,2.64,1.67,2.64,1.56,2.44
3,Pune,Maharashtra Open,1/4/19,ATP250,Outdoor,Hard,Semifinals,3,Karlovic I.,Darcis S.,100,N/A,589,N/A,7,6,4,6,6,3,,,,,2,1,Completed,1.53,2.5,1.55,2.66,1.6,2.68,1.53,2.53
3,Pune,Maharashtra Open,1/4/19,ATP250,Outdoor,Hard,Semifinals,3,Anderson K.,Simon G.,6,30,4710,1370,6,3,7,6,,,,,,,2,0,Completed,1.36,3.2,1.41,3.22,1.44,3.31,1.39,3.03
3,Pune,Maharashtra Open,1/5/19,ATP250,Outdoor,Hard,The Final,3,Anderson K.,Karlovic I.,6,100,4710,589,7,6,6,7,7,6,,,,,2,1,Completed,1.28,3.75,1.3,3.99,1.3,4.25,1.27,3.83
4,Auckland,ASB Classic,1/6/19,ATP250,Outdoor,Hard,1st Round,3,Fritz T.,Copil M.,50,61,933,823,4,6,6,3,6,4,,,,,2,1,Completed,1.53,2.37,1.67,2.32,1.67,2.45,1.59,2.34
4,Auckland,ASB Classic,1/7/19,ATP250,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Klahn B.,34,76,1125,699,6,4,7,6,,,,,,,2,0,Completed,1.4,2.75,1.48,2.84,1.55,2.86,1.48,2.64
4,Auckland,ASB Classic,1/7/19,ATP250,Outdoor,Hard,1st Round,3,Struff J.L.,Djere L.,58,91,855,621,7,6,2,0,,,,,,,1,0,Retired,1.4,2.75,1.48,2.82,1.55,3.01,1.46,2.72
4,Auckland,ASB Classic,1/7/19,ATP250,Outdoor,Hard,1st Round,3,Norrie C.,Paire B.,93,55,616,890,6,3,6,2,,,,,,,2,0,Completed,1.66,2.1,1.67,2.33,1.75,2.35,1.66,2.23
4,Auckland,ASB Classic,1/7/19,ATP250,Outdoor,Hard,1st Round,3,Sandgren T.,Marterer M.,63,70,814,732,6,3,6,4,,,,,,,2,0,Completed,2.37,1.53,2.63,1.54,2.65,1.6,2.48,1.54
4,Auckland,ASB Classic,1/7/19,ATP250,Outdoor,Hard,1st Round,3,Berrettini M.,Mcdonald M.,52,79,916,688,6,3,6,4,,,,,,,2,0,Completed,1.72,2,1.85,2.04,1.9,2.11,1.8,2.01
4,Auckland,ASB Classic,1/7/19,ATP250,Outdoor,Hard,1st Round,3,Sousa J.,Shapovalov D.,44,27,1017,1440,4,6,6,4,6,4,,,,,2,1,Completed,2.75,1.4,2.9,1.46,2.98,1.53,2.71,1.47
4,Auckland,ASB Classic,1/7/19,ATP250,Outdoor,Hard,1st Round,3,Mayer L.,Johnson S.,54,33,895,1190,7,5,6,3,,,,,,,2,0,Completed,2.75,1.4,2.62,1.55,2.75,1.57,2.56,1.51
4,Auckland,ASB Classic,1/8/19,ATP250,Outdoor,Hard,1st Round,3,Ferrer D.,Haase R.,124,49,460,940,6,2,6,1,,,,,,,2,0,Completed,1.8,1.9,1.74,2.2,1.85,2.25,1.72,2.12
4,Auckland,ASB Classic,1/8/19,ATP250,Outdoor,Hard,1st Round,3,Gojowczyk P.,Pella G.,60,66,830,790,6,1,3,6,6,2,,,,,2,1,Completed,1.72,2,1.79,2.13,1.8,2.15,1.76,2.06
4,Auckland,ASB Classic,1/8/19,ATP250,Outdoor,Hard,1st Round,3,Statham J.,Chung H.,360,25,56,1585,7,5,6,3,,,,,,,2,0,Completed,7,1.1,7.75,1.11,8.25,1.11,7.07,1.1
4,Auckland,ASB Classic,1/8/19,ATP250,Outdoor,Hard,1st Round,3,Humbert U.,Cuevas P.,98,90,584,630,7,5,6,1,,,,,,,2,0,Completed,1.57,2.25,1.65,2.37,1.67,2.4,1.61,2.32
4,Auckland,ASB Classic,1/8/19,ATP250,Outdoor,Hard,2nd Round,3,Fritz T.,Isner J.,50,10,933,3155,7,6,7,6,,,,,,,2,0,Completed,2.37,1.53,2.53,1.59,2.59,1.65,2.4,1.58
4,Auckland,ASB Classic,1/8/19,ATP250,Outdoor,Hard,2nd Round,3,Sandgren T.,Cecchinato M.,63,18,814,1889,6,3,6,3,,,,,,,2,0,Completed,1.57,2.25,1.66,2.37,1.67,2.4,1.63,2.28
4,Auckland,ASB Classic,1/9/19,ATP250,Outdoor,Hard,2nd Round,3,Mayer L.,Berrettini M.,54,52,895,916,5,7,7,6,6,3,,,,,2,1,Completed,2.5,1.5,2.44,1.63,2.56,1.65,2.4,1.58
4,Auckland,ASB Classic,1/9/19,ATP250,Outdoor,Hard,2nd Round,3,Fognini F.,Gojowczyk P.,13,60,2315,830,6,2,3,6,7,6,,,,,2,1,Completed,1.53,2.37,1.64,2.42,1.67,2.45,1.61,2.32
4,Auckland,ASB Classic,1/9/19,ATP250,Outdoor,Hard,2nd Round,3,Kohlschreiber P.,Humbert U.,34,98,1125,584,6,4,6,4,,,,,,,2,0,Completed,1.5,2.5,1.61,2.48,1.67,2.5,1.59,2.36
4,Auckland,ASB Classic,1/9/19,ATP250,Outdoor,Hard,2nd Round,3,Norrie C.,Sousa J.,93,44,616,1017,7,6,6,4,,,,,,,2,0,Completed,1.53,2.37,1.56,2.6,1.63,2.6,1.57,2.4
4,Auckland,ASB Classic,1/9/19,ATP250,Outdoor,Hard,2nd Round,3,Carreno Busta P.,Ferrer D.,24,124,1705,460,1,1,,,,,,,,,0,0,Retired,2.37,1.53,2.76,1.51,2.76,1.6,2.53,1.52
4,Auckland,ASB Classic,1/9/19,ATP250,Outdoor,Hard,2nd Round,3,Struff J.L.,Statham J.,58,360,855,56,6,2,6,1,,,,,,,2,0,Completed,1.18,4.5,1.22,4.83,1.25,5.3,1.21,4.48
4,Auckland,ASB Classic,1/9/19,ATP250,Outdoor,Hard,Quarterfinals,3,Sandgren T.,Mayer L.,63,54,814,895,6,3,7,6,,,,,,,2,0,Completed,1.61,2.3,1.75,2.24,1.75,2.5,1.67,2.23
4,Auckland,ASB Classic,1/10/19,ATP250,Outdoor,Hard,Quarterfinals,3,Kohlschreiber P.,Fognini F.,34,13,1125,2315,6,3,6,1,,,,,,,2,0,Completed,1.57,2.37,1.56,2.63,1.6,2.75,1.53,2.54
4,Auckland,ASB Classic,1/10/19,ATP250,Outdoor,Hard,Quarterfinals,3,Norrie C.,Fritz T.,93,50,616,933,7,6,6,3,,,,,,,2,0,Completed,1.8,2,1.81,2.15,1.95,2.15,1.82,2.01
4,Auckland,ASB Classic,1/10/19,ATP250,Outdoor,Hard,Quarterfinals,3,Struff J.L.,Carreno Busta P.,58,24,855,1705,7,6,6,7,7,6,,,,,2,1,Completed,1.8,2,1.87,2.06,1.88,2.1,1.8,2.02
4,Auckland,ASB Classic,1/11/19,ATP250,Outdoor,Hard,Semifinals,3,Sandgren T.,Kohlschreiber P.,63,34,814,1125,6,4,6,2,,,,,,,2,0,Completed,3,1.4,3.02,1.45,3.1,1.47,2.9,1.42
4,Auckland,ASB Classic,1/11/19,ATP250,Outdoor,Hard,Semifinals,3,Norrie C.,Struff J.L.,93,58,616,855,7,5,4,6,6,3,,,,,2,1,Completed,1.61,2.3,1.69,2.32,1.71,2.38,1.64,2.27
